,Sentence ID,HIT ID,Formality,Informativeness,Implicature,Length in Words,Length in Characters,F-score,I-score,Lexical Density,Sentence,Label
0,0,3D1TUISJWHZ3X38ICFUZ8CHJC9KIUW,5.8,6.4,4.2,33,201,93.9393939394,7.24242424242,66.6666666667,"10In High Bay 4 of the Vehicle Assembly Building at NASA's Kennedy Space Center in Florida, technicians maneuver a second roll control system module into place for installation in the Ares I-X segment.",1
1,1,3GKAWYFRAOS9XNK03FUU79E7CNKDPT,5.2,5.8,2.6,45,266,85.55555555560001,5.2,62.2222222222,"12The oxygen vent arm and hood removed from the fixed service structure at NASA Kennedy Space Center's Launch Pad 39B is ready for transfer from the pad to a storage facility, after the pad was transferred from the Space Shuttle Program to the Constellation Program.",1
2,2,3VMHWJRYHUFB4G0NGCZ1PM3VQZ8XFB,5.2,5.6,4.8,29,186,93.1034482759,3.8965517241400005,65.5172413793,"13In the Rotation, Processing and Surge Facility at NASA's Kennedy Space Center in Florida, a technician performs propellant grain inspection of the inside of the Ares I-X motor segment.",1
3,3,3NFWQRSHVDD0IU5XR2ZX1030N9CFG1,4.8,4.4,3.0,16,98,87.5,3.375,68.75,"14In the Vehicle Assembly Building's High Bay 4, assembly of the Ares I-X rocket nears completion.",1
4,4,359AP8GAGFJAMPAM7X52NH54RT17CF,5.6,5.2,2.8,19,108,84.2105263158,6.21052631579,63.1578947368,"15In the Vehicle Assembly Building's High Bay 3, a yellow framework, lifts Super Stack 5 atop Super Stack 4.",1
5,5,3THR0FZ95OSAAZWR1WF31MHMBRQLO0,4.4,4.8,4.0,23,142,93.47826086959999,5.0,73.9130434783,16Work platforms surround the Ares I-X launch vehicle in the Vehicle Assembly Building's High Bay 4 at NASA's Kennedy Space Center in Florida.,1
6,6,30P8I9JKOHKRYU23ALLAFPFXLUN5VY,4.6,6.2,3.2,36,212,91.6666666667,5.52777777778,61.111111111099994,"17In the Vehicle Assembly Building's High Bay 3 at Kennedy Space Center in Florida, a technician works on a platform mounted on the interior wall of the upper stage simulator of the 327-foot-tall Ares I-X rocket.",1
7,7,3SR6AEG6W4SKIHH3GY93BLMH8KFHYZ,4.8,6.4,2.4,35,208,82.8571428571,4.88571428571,71.4285714286,"18The Ares I-X rocket, shown in in High Bay 3 of Kennedy Space Center's Vehicle Assembly Building is being prepared for this week's Launch Vehicle Readiness Test in Cape Canaveral, Fla., Monday, Oct. 5, 2009.",1
8,8,39AYGO6AFEJA9TT8DD9OXEZKVMVN6E,5.2,6.8,1.4,30,183,83.3333333333,4.46666666667,66.6666666667,"19The 327-foot-tall Ares I-X test rocket moves slowly to launch pad 39B from the Vehicle Assembly Building at the Kennedy Space Center in Cape Canaveral, Fla., Tuesday, Oct. 20, 2009.",1
9,10,3UQVX1UPFRGJ6WI0P5VNWPMV7OJ020,1.4,3.6,3.8,16,80,75.0,7.125,43.75,1) Check out this random object we found at a thrift store (via the link below).,1
10,15,3BFF0DJK8WBDR4WPHMY37I142TEST6,2.2,2.4,4.4,9,44,61.111111111099994,2.66666666667,44.4444444444,1. Is Levi Johnston screwing with all of us?,1
11,18,3P7QK0GJ3SKG8HOQTZ8F2OPHPV22ZU,4.0,3.6,5.4,9,56,83.3333333333,6.0,66.6666666667,1.) The European Union strikes a climate financing deal.,1
